Brand,Model,Serial,Hostname,Type,Ship Date,Warranty Expiry Date,Site,Location,Device Department,Status
dell,Latitude E7470,JCF9DC2,BCWIN7-04,Laptop,24-May-2016,25-May-2019,Toa Payoh,Server Room,teaching,to_be_decom
lenovo,T14 Gen 4,PF4V7HLK,PF4V7HLK,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,null,5TB8R42,SGSIN1BC0013,PC,2-Mar-2015,3-Mar-2018,napier,4011,teaching,deployed
lenovo,T14 Gen 4,PF4VJLZE,PF4VJLZE,Laptop,17-Dec-2023,9-Feb-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VK6N4,PF4VK6N4,Laptop,17-Dec-2023,9-Feb-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VCYJL,PF4VCYJL,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VC1YE,PF4VC1YE,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VC436,PF4VC436,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VC1VQ,PF4VC1VQ,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4V7D2G,PF4V7D2G,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4V7HMN,PF4V7HMN,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4VC447,PF4VC447,Laptop,17-Dec-2023,30-Jan-2027,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4LV75L,PF4LV75L,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,T14 Gen 4,PF4LPQ27,PF4LPQ27,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,T14 Gen 4,PF4LV765,PF4LV765,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,T14 Gen 4,PF4LV755,PF4LV755,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,T14 Gen 4,PF4LF1JV,PF4LF1JV,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,T14 Gen 4,PF4LF3R2,PF4LF3R2,Laptop,10-Mar-2024,23-Apr-2027,Napier,Server Room,Exams,pending_deployment
lenovo,M90a Gen 3-Type 11VJ,EM00YE31,EM00YE31,PC,12 Feb 2024,28 Mar 2027,Napier,Server Room,teaching,pending_deployment
lenovo,M90s Desktop (ThinkCentre) - Type 11D1,EM005HGB,EM005HGB,PC,11-May-2022,10-May-2025,Toa Payoh,server room,teaching,pending_deployment
Dell,OptiPlex 3030 AIO,GQB8R42,SGSIN1BC0073,pc,2-Mar-2015,3-Mar-2018,Napier,security guardhouse,premises,deployed
dell,Optiplex 9020,GFCBW22,SGSIN1BC0100,pc,28-Oct-2015,28-Oct-2017,napier,null,premises,to_be_decom
Dell,Optiplex 9020,FFJLH62,SGSIN1BC0160,PC,14-Oct-2015,17-Oct-2018,napier,4014,teaching,deployed
lenovo,null,3PC7R42,SGSIN1BC4090,PC,2-Mar-2015,3-Mar-2018,napier,4025,teaching,deployed
lenovo,M920z AIO-Type 10S7,S4NR0859,SGSIN1BC7000,PC,5-Jun-2020,5-Jun-2023,napier,4019,teaching,deployed
lenovo,null,1TS58P2,SGSIN1BC7004,PC,14-Mar-2018,14-Mar-2021,napier,4027,teaching,deployed
dell,OptiPlex 3030 AIO,8M8CR42,SGSIN1BC7011,PC,2-Mar-2015,3-Mar-2018,napier,4048,teaching,deployed
lenovo,null,1TX98P2,SGSIN1BC7013,PC,14-Mar-2018,14-Mar-2021,napier,4013,teaching,deployed
lenovo,null,7RB8R42,SGSIN1BC7016,PC,2-Mar-2015,3-Mar-2018,napier,4015,teaching,deployed
lenovo,null,BM8CR42,SGSIN1BC7017,PC,2-Mar-2015,3-Mar-2018,napier,4001,teaching,deployed
lenovo,null,2TB8R42,SGSIN1BC7021,PC,2-Mar-2015,3-Mar-2018,napier,4024,teaching,deployed
lenovo,null,8W7DR42,SGSIN1BC7022,PC,2-Mar-2015,3-Mar-2018,napier,4021,teaching,deployed
lenovo,M90a Gen 3-Type 11VJ,EM00YE30,SGSIN1BC7024,PC,12 Feb 2024,28 Mar 2027,Napier,L2 ta area,teaching,deployed
lenovo,null,7ZBVF42,SGSIN1BC7027,PC,12-Jan-2015,13-Jan-2018,napier,4013,teaching,deployed
lenovo,null,2NC7R42,SGSIN1BC7028,PC,2-Mar-2015,3-Mar-2018,napier,4009,teaching,deployed
lenovo,null,6P8CR42,SGSIN1BC7029,PC,2-Mar-2015,3-Mar-2018,napier,4008,teaching,deployed
lenovo,null,5QB8R42,SGSIN1BC7030,PC,2-Mar-2015,3-Mar-2018,napier,4005,teaching,deployed
lenovo,M90s-Type 11D1,EM005BCG,SGSIN1BC7100,pc,25-Jun-2022,24-Jun-2025,napier,L2 ta area,teaching,deployed
lenovo,M90a Gen 3-Type 11VJ,EM00YE34,SGSIN1BC7101,PC,12 Feb 2024,28 Mar 2027,Napier,L2 ta area,teaching,deployed
lenovo,M90a Gen 3-Type 11VJ,EM00YE2S,SGSIN1BC8001,PC,12 Feb 2024,28 Mar 2027,Toa Payoh,server room,teaching,pending_deployment
lenovo,M90a Gen 3-Type 11VJ,EM00YE36,SGSIN1BC8002,PC,12 Feb 2024,28 Mar 2027,Napier,L2 ta area,teaching,deployed
lenovo,M90a Gen 3-Type 11VJ,EM00YE2E,SGSIN1BC8003,PC,12 Feb 2024,28 Mar 2027,Napier,Server Room,teaching,pending_deployment
Dell,Latitude 7280,BXDJ0N2,SGSIN1BL0144,Laptop,13-Mar-2018,15-Mar-2021,napier,null,general resources,pending_deployment
Dell,Latitude 7280,75ZB0N2,SGSIN1BL5001,Laptop,5-Mar-2018,5-Mar-2021,napier,Server Room,teaching,to_be_decom
lenovo,T14 Gen 4,PF4NQPWK,SGSIN1BL5002,Laptop,9-Jan-2024,8-Jan-2027,null,null,teaching,deployed
lenovo,T16 Gen 1,PF4FBG5G,SGSIN1BL5006,Laptop,1-Aug-2023,1-Aug-2026,Napier,Server Room,Human Resources,pending_deployment
Dell,Latitude 7280 ,3czb0n2,SGSIN1BL5008,Laptop,5-Mar-2018,5-Mar-2021,null,null,teaching,deployed
lenovo,L13 Gen 2,PW009TJT,SGSIN1BL5009,laptop,14-Jun-2022,13-Jun-2025,null,null,global operations,deployed
Dell,Latitude 7280,9H4C0N2,SGSIN1BL5010,Laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,teaching,to_be_decom
Dell,Latitude 7280,hhq70n2,SGSIN1BL5011,Laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,exams,to_be_decom
Dell,Latitude 7490,3Q15672,SGSIN1BL5015 ,laptop,12-Sep-2017,13-Sep-2020,null,null,global operations,deployed
lenovo,T14 Gen 4,PF4NQ75L,SGSIN1BL5016,Laptop,11-Nov-2023,25-Dec-2026,null,null,teaching,deployed
lenovo,T16 Gen 1,PF4K5D7A,SGSIN1BL5017,Laptop,1-Sep-2023,15-Oct-2026,null,null,finance,deployed
lenovo,T490,PF1BS8BG,SGSIN1BL5018,laptop,5-Jun-2020,5-Jun-2023,napier,L4 Server Room,Premises,pending_deployment
Dell,Latitude 7280,6HT90N2,SGSIN1BL5020,Laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,exams,to_be_decom
Dell,Latitude 7280,HBT11N2,SGSIN1BL5022,Laptop,20-Mar-2018,22-Mar-2021,null,null,human resources,deployed
Dell,Latitude 7290,2LPC7S2,SGSIN1BL5024,Laptop,26-Dec-2018,28-Dec-2021,Napier,Server Room,Cultural Engagement,pending_deployment
Dell,Latitude 7290,BL6XNF2,SGSIN1BL5025,Laptop,3-Mar-2019,5-Mar-2022,napier,Server Room,Global Operations,pending_deployment
Dell,Latitude 7290,9HDXHR2,SGSIN1BL5027,laptop,29-Oct-2018,31-Oct-2021,null,null,human resources,deployed
Dell,Latitude 7280,2LN11N2,SGSIN1BL5030,laptop,21-Mar-2018,23-Mar-2021,null,null,exams,deployed
Dell,Latitude 7490,J0NKHR2,SGSIN1BL5031,laptop,28-Oct-2018,30-Oct-2021,null,null,cultural engagement,deployed
lenovo,T14 Gen 4,PF4TFR0F,SGSIN1BL5032,Laptop,14-Dec-2023,27-Jan-2027,null,null,global operations,deployed
Dell,Latitude 7280,3X170N2,SGSIN1BL5033,Laptop,5-Mar-2018,5-Mar-2021,null,null,teaching,deployed
lenovo,T14 Gen 4,PF4RK18R,SGSIN1BL5034,Laptop,30 Jan 2024,15 Mar 2027,null,null,teaching,deployed
lenovo,P14s Gen 2,PF3JDE33,SGSIN1BL5036,Laptop,30-Jun-2022,29-Jun-2025,null,null,exams,deployed
Dell,Latitude 7280,5FH50N2,SGSIN1BL5038,laptop,30-Oct-2021,30-Oct-2021,Napier,null,finance,to_be_decom
lenovo,T14 Gen 3,PF-3VBZGT,SGSIN1BL5039,laptop,1-Oct-2022,1-Oct-2025,null,null,finance,deployed
lenovo,T14 Gen 4,PF4LPPYC,SGSIN1BL5040,Laptop,10-Mar-2024,23-Apr-2027,null,null,exams regional,deployed
lenovo,T490,PF1BS89D,SGSIN1BL5042,Laptop,5-Jun-2020,5-Jun-2023,Napier,server room,Global Operations,pending_deployment
null,null,SGSIN1BL5043,SGSIN1BL5043,laptop,null,null,null,null,global operations,deployed
lenovo,L390,R90XESNF,SGSIN1BL5044,laptop,1-Jun-2020,1-Jun-2023,napier,Server Room,global operations,pending_deployment
null,null,P01,SGSIN1BL5045,laptop,null,null,null,null,global operations,deployed
null,null,P01,SGSIN1BL5046,laptop,null,null,null,null,global operations,deployed
lenovo,T490,PF1B581Y,SGSIN1BL5047,Laptop,5-Jun-2020,5-Jun-2023,Napier,Server Room,Procurement,pending_deployment
lenovo,T490,PF1BS3ZQ,SGSIN1BL5048,laptop,5-Jun-2020,5-Jun-2023,null,null,finance,deployed
lenovo,T490,PF1B581F,SGSIN1BL5049,Laptop,1-May-2020,1-Aug-2023,null,null,Finance,deployed
lenovo,T14 Gen 4,PF4RK196,SGSIN1BL5050,Laptop,30 Jan 2024,15 Mar 2027,null,null,teaching,deployed
Dell,Latitude 7290,BVRB6Y2,SGSIN1BL5051,Laptop,18-Jul-2019,19-Jul-2022,null,null,teaching,deployed
Dell,Latitude 7290,CY257Y2,SGSIN1BL5052,laptop,24-Jul-2019,25-Jul-2022,null,null,teaching,deployed
Dell,Latitude 7290,10BC6Y2,SGSIN1BL5053,Laptop,18-Jul-2019,19-Jul-2022,Napier,Server Room,global operations,pending_deployment
Dell,Latitude 7290,80Z8QV2,SGSIN1BL5054,Laptop,9-May-2019,10-May-2022,null,null,teaching,deployed
null,null,P01,SGSIN1BL5056,laptop,null,null,null,null,finance,deployed
lenovo,T14 Gen 4,PF4V7HMA,SGSIN1BL5057,Laptop,17-Dec-2023,30-Jan-2027,null,null,teaching,deployed
Dell,Latitude 7490,3DQC6Y2,SGSIN1BL5058,Laptop,24-Jul-2019,25-Jul-2022,Napier,server room,Global Operations,pending_deployment
null,null,P01,SGSIN1BL5059,laptop,null,null,null,null,global operations,deployed
Dell,Latitude 7280,3FP70N2,SGSIN1BL5060,Laptop,4-Mar-2018,4-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7300,2DD72Z2,SGSIN1BL5061,Laptop,17-Sep-2019,18-Sep-2022,Napier,null,Global Operations,pending_deployment
null,null,P01,SGSIN1BL5062,laptop,null,null,null,null,global operations,deployed
lenovo,T14 Gen 4,PF4RK174,SGSIN1BL5064,Laptop,30-Jan-2024,15-Mar-2027,Napier,server room,exams,pending_deployment
lenovo,L13 Gen 2,PW00GH0P,SGSIN1BL5070,laptop,1-Apr-2022,1-Apr-2025,null,null,finance,deployed
lenovo,T14 Gen 3,PF49BVCX,SGSIN1BL5071,Laptop,12-Jan-2023,11-Jan-2026,null,null,global operations,deployed
lenovo,L13 Gen 2,PW009TJV,SGSIN1BL5072,Laptop,14-Jun-2022,13-Jun-2025,null,null,Global Operations,deployed
lenovo,T14 Gen 3,PF46B8F8,SGSIN1BL5073,Laptop,6-Feb-2023,5-Feb-2024,null,null,Global Operations,deployed
lenovo,T16 Gen 2 ,PF4SZW3Y,SGSIN1BL7001,Laptop,22-Dec-2023,4-Feb-2027,null,null,premises,deployed
lenovo,T14 Gen 4,PF4RK3GN,SGSIN1BL7002,Laptop,30 Jan 2024,15 Mar 2027,null,null,exams,deployed
lenovo,T16 Gen 2 ,PF4SZBJN,SGSIN1BL7003,Laptop,22-Dec-2023,4-Feb-2027,null,null,procurement,deployed
lenovo,T14 Gen 4,PF4VCYJB,SGSIN1BL7004,Laptop,17-Dec-2023,30-Jan-2027,null,null,exams,deployed
Dell,Latitude 7480,4VS20N2,SGSIN1BL7005,Laptop,11-Mar-2018,13-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7480,H0T20N2,SGSIN1BL7006,Laptop,11-Mar-2018,13-Mar-2021,Napier,server room,Finance,pending_deployment
lenovo,T14 Gen 4,PF4YNKRD,SGSIN1BL7007,Laptop,16-Apr-2024,30-May-2027,null,null,teaching,deployed
Dell,Latitude 7480,G7530N2,SGSIN1BL7008,Laptop,11-Mar-2018,13-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7280,FGYD9H2,SGSIN1BL7013,Laptop,9-Aug-2017,11-Aug-2020,Napier,Server Room,exams customer service,to_be_decom
lenovo,T16 Gen 2 ,PF4SZL4F,SGSIN1BL7014,Laptop,22-Dec-2023,4-Feb-2027,null,null,premises,deployed
Dell,Latitude 7300,6DD72Z2,SGSIN1BL7015,Laptop,17-Sep-2019,18-Sep-2022,Napier,Server Room,general resources,pending_deployment
Dell,Latitude 7300,6BD72Z2,SGSIN1BL7016,laptop,17-Sep-2019,18-Sep-2022,null,null,exams customer service,deployed
Dell,Latitude 7490,null,SGSIN1BL7018,laptop,null,null,null,null,global operations,deployed
lenovo,L390,R90XESNE,SGSIN1BL7021,Laptop,19-May-2020,18-May-2023,Napier,Server Room,exams customer service,pending_deployment
Dell,Latitude 7280,6G910N2,SGSIN1BL7023,Laptop,5-Mar-2018,5-Mar-2021,null,null,premises,deployed
lenovo,L390,R90XF8GC,SGSIN1BL7024,laptop,5-Jun-2020,5-Jun-2023,null,null,global operations,deployed
null,null,P01,SGSIN1BL7025,laptop,null,null,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0M,SGSIN1BL7030,laptop,19-Jan-2022,18-Jan-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0G,SGSIN1BL7031,laptop,7-Mar-2022,6-Mar-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0N,SGSIN1BL7032,Laptop,11-Mar-2022,10-Mar-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0H,SGSIN1BL7033,laptop,17-Mar-2022,16-Mar-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0K,SGSIN1BL7034,Laptop,25-Mar-2022,24-Mar-2025,null,null,exams customer service,deployed
lenovo,L13 Gen 2,PW00GH0J,SGSIN1BL7035,Laptop,27-Apr-2022,26-Apr-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0F,SGSIN1BL7036,Laptop,25-Apr-2022,24-Apr-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00GH0L,SGSIN1BL7037,Laptop,29-Apr-2022,28-Apr-2025,Napier,Server Room,exams,pending_deployment
lenovo,T14 Gen 2,PF-3NFXS4,SGSIN1BL7038,laptop,11-May-2022,10-May-2025,null,null,teaching,deployed
lenovo,T14 Gen 3,PF3NMN55,SGSIN1BL7039,Laptop,11-May-2022,10-May-2025,null,null,teaching,deployed
lenovo,T14 Gen 2,PF3NFXW3,SGSIN1BL7040,laptop,11-May-2022,10-May-2025,null,null,teaching,deployed
lenovo,T14 Gen 2,PF3NJK6J,SGSIN1BL7041,Laptop,11-May-2022,10-May-2025,null,null,international operations,deployed
lenovo,L13 Gen 2,PW00H8BF,SGSIN1BL7042,Laptop,26-May-2022,25-May-2025,null,null,teaching,deployed
lenovo,L13 Gen 2,PW00H8AS,SGSIN1BL7043,Laptop,26-May-2022,25-May-2025,Napier,Server Room,Cultural Engagement,pending_deployment
Dell,Latitude 7280,FJF60N2,SGSIN1BL7100,Laptop,4-Mar-2018,4-Mar-2021,null,null,teaching,deployed
lenovo,P14s Gen 2,PF3J592A,SGSIN1BL7101,Laptop,27-Jun-2022,26-Jun-2025,null,null,exams,deployed
Dell,Latitude 7280,90MB0N2,SGSIN1BL7102,laptop,5-Mar-2018,5-Mar-2021,null,null,exams,deployed
lenovo,T16 Gen 2 ,PF4RL1TM,SGSIN1BL7104,Laptop,12 Mar 2024,12 Mar 2027,null,null,teaching,deployed
Dell,Latitude 7280,FY170N2,SGSIN1BL7105,laptop,5-Mar-2018,5-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7280,4HR00N2,SGSIN1BL7106,laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,global operations,to_be_decom
Dell,Latitude 7290,6S4NPV2,SGSIN1BL7111,Laptop,6-May-2019,30-Nov-2022,null,null,teaching,deployed
lenovo,T16 Gen 2 ,PF4XX9SF,SGSIN1BL7112,Laptop,11 May 2024,24 Jun 2027,null,null,teaching,deployed
lenovo,T16 Gen 2 ,PF4SZPPW,SGSIN1BL7113,Laptop,22-Dec-2023,4-Feb-2027,null,null,international operations,deployed
lenovo,T14 Gen 4,PF4TFHCZ,SGSIN1BL7115,Laptop,14-Dec-2023,27-Jan-2027,null,null,cultural engagement,deployed
lenovo,T14 Gen 4,SPF4YNKTY,SGSIN1BL7118,Laptop,16 Apr 2024,30 May 2027,null,null,global operations,deployed
Dell,Latitude 7480,CNJMHM2,SGSIN1BL7119,laptop,22-Jan-2018,24-Jan-2021,null,null,teaching,deployed
Dell,Latitude 7480,3VTZZM2,SGSIN1BL7122,Laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,exams customer service,to_be_decom
Dell,Latitude 7280,9JG90N2,SGSIN1BL7126,Laptop,4-Mar-2018,4-Mar-2021,Napier,Server Room,teaching,to_be_decom
Dell,Latitude 7490,1N42XT2,SGSIN1BL7128,Laptop,27-Mar-2019,28-Mar-2022,null,null,global operations,deployed
lenovo,T14 Gen 4,PF4VD0P1,SGSIN1BL7129,Laptop,17-Dec-2023,30-Jan-2027,null,null,exams,deployed
lenovo,T490,PF1BS0BM,SGSIN1BL7130,Laptop,29-Jul-2020,28-Jul-2023,Napier,server room,Human Resources,pending_deployment
Dell,Latitude 7480,3KZ20N2,SGSIN1BL7134,Laptop,11-Mar-2018,13-Mar-2021,Napier,Server Room,human resources,to_be_decom
Dell,Latitude 7480,9RVLJM2,SGSIN1BL7136,Laptop,12-Feb-2018,14-Feb-2021,Napier,Server Room,general resources,pending_deployment
lenovo,T14 Gen 4,PF4NJP4Y,SGSIN1BL7137,Laptop,11-Nov-2023,25-Dec-2026,null,null,teaching,deployed
Dell,Latitude 7490,11J2XT2,SGSIN1BL7138,laptop,27-Mar-2019,28-Mar-2022,null,null,premises,deployed
dell,Latitude 7280,J4770N2,SGSIN1BL7139,Laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,teaching,to_be_decom
null,null,P01,SGSIN1BL7140,laptop,null,null,null,null,teaching,deployed
null,null,P01,SGSIN1BL7144,laptop,null,null,null,null,cultural engagement,deployed
lenovo,L13 Gen 2,PW009TJX,SGSIN1BL7149,Laptop,14-Jun-2022,13-Jun-2025,Napier,Server Room,exams,pending_deployment
Dell,Latitude 7300,BVBSXY2,SGSIN1BL7151,Laptop,13-Nov-2019,14-Nov-2022,Napier,Server Room,exams,pending_deployment
Dell,Latitude 7280,1LW90N2,SGSIN1BL7153,laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,teaching,to_be_decom
lenovo,T16 Gen 2,SPF4Y3BBN,SGSIN1BL7155,Laptop,6 May 2024,19 Jun 2027,null,null,global operations,deployed
Dell,Latitude 7280,9KKB0N2,SGSIN1BL7156,laptop,5-Mar-2018,5-Mar-2021,Napier,Server Room,teaching,to_be_decom
null,null,P01,SGSIN1BL7157,laptop,null,null,null,null,teaching,deployed
Dell,Latitude 7290,8TYN0X2,SGSIN1BL7158,laptop,19-Jun-2019,20-Jun-2022,null,null,teaching,deployed
Dell,Latitude 7280,3NW90N2,SGSIN1BL7159,Laptop,5-Mar-2018,5-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7280,HXV10N2,SGSIN1BL7160,laptop,5-Mar-2018,5-Mar-2021,null,null,teaching,deployed
lenovo,T14 Gen 4,PF4PZ3RF,SGSIN1BL7161,Laptop,8-Nov-2023,22-Dec-2026,null,null,teaching,deployed
Dell,Latitude 7280,6WKB0N2,SGSIN1BL7164,laptop,5-Mar-2018,5-Mar-2021,Toa Payoh,Server Room,teaching,pending_deployment
Dell,Latitude 7290,2NHP0X2,SGSIN1BL7165,Laptop,19-Jun-2019,20-Jun-2022,null,null,teaching,deployed
lenovo,T14 Gen 4,PF4NQPSG,SGSIN1BL7166,Laptop,11-Nov-2023,25-Dec-2026,null,null,teaching,deployed
Dell,Latitude 7280,FLK00N2,SGSIN1BL7167,Laptop,4-Mar-2018,4-Mar-2021,null,null,teaching,deployed
Dell,Latitude 7480,HBCB0N2,SGSIN1BL7169,Laptop,3-Mar-2018,5-Mar-2021,Toa Payoh,Server Room,general resources,pending_deployment
